"user (S)","id (S)","name (S)","played_at (S)","songId (S)"
"1231014939","16f00524-7347-4a05-b293-e30a537d389a","Count On You - Youngr Bootleg - Autoerotique, Youngr","2021-01-25T02:29:09.889Z","56TPdyAScB607JHP7AFITK"
"1231014939","17da4c0f-a03e-472f-aa6c-495af8018a7f","Road - Jerro Remix - Lane 8","2021-01-25T03:21:16.487Z","2FNv7EEu3T0JDpdVRSaKtO"
"1231014939","1810cea9-32e3-4591-b50c-a9f8f23acc95","Experience - Starkey Remix - Ludovico Einaudi","2021-02-10T01:38:58.801Z","6Ao0Dpv397F4rJfVXq83a2"
"1231014939","1859b579-28e1-4620-9c25-c625b8709617","She's Country - Jason Aldean","2021-03-04T20:57:14.564Z","4cDWuDOQPJsnS88XKrkAFy"
"1231014939","187cf2e3-9853-4c3d-93d2-06f29d3c21f7","Running - TELYKast Remix - Arlissa","2021-01-20T07:49:16.260Z","0cj5yRe5BDdNhUNqRYaNi9"
"1231014939","1a2c62d4-2ac1-4d41-8296-3d50ac3a8f2b","Feathered Indians - Tyler Childers","2021-02-28T09:00:58.683Z","6qgvVBgkNopm1wYMkdwomC"
"1231014939","1a425079-3423-4474-8a2d-4d6061ac4d24","Wintergreen - The East Pointers","2021-02-26T04:12:31.828Z","3AGrq6TmUJNypUQ7n2f9CR"
"1231014939","1a76240a-2ad2-4d95-96c4-03648cdbb921","Hard to Be Cool - Joe Nichols","2021-03-04T20:31:28.812Z","3OFD6HAlPiHqy2XoPNaVMR"
"1231014939","1a9f86c4-c4f5-43ce-be72-af45d7c9bbd3","Hallucinogenics - Seeb Remix - Matt Maeson, Seeb","2021-02-09T01:53:51.566Z","5Xp473XG4dlvfspbyiEumB"
"1231014939","1ae4c8b7-30b1-478f-9b98-829d474a6250","salanabani (13.8.18) - Bongeziwe Mabandla","2021-02-06T09:49:10.303Z","7nzjwTZjjWY34LDzu9SOeU"
"1231014939","1ae4cced-c138-4472-8651-c23715bababa","She Took a Gamble - Hannah Read","2021-02-13T09:15:49.389Z","4Ce9lBCVyWAmwN8qbq1Duz"
"1231014939","1b268eab-02f6-498d-b4a9-730f32bc9aaf","Frequency - Sean Koch","2021-02-26T04:32:53.401Z","6aZzE6efPCZNzd6eusRFcr"
"1231014939","1b5039a1-19c1-4620-8466-1a647769129c","Mix 'Em With Whiskey - Larry Fleet","2021-02-27T08:49:18.499Z","4ZFKP8P3Y1ym6kwN2DS7Jh"
"1231014939","1c2f3017-64fa-49f6-b47c-02cd2ce57467","Pluto - Live - Beatenberg","2021-02-19T00:46:55.717Z","59oBTOQ2aidtB5RRbfLdRz"
